image_path,mask_path,defect_type,is_defect
data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp2_num_40424.jpg,data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp2_num_40424.png,Blowhole,1
data/raw/magnetic_tile_dataset/MT_Fray/Imgs/exp5_num_77692.jpg,data/raw/magnetic_tile_dataset/MT_Fray/Imgs/exp5_num_77692.png,Fray,1
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp6_num_180965.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp6_num_180965.png,Free,0
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp5_num_354439.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp5_num_354439.png,Free,0
data/raw/magnetic_tile_dataset/MT_Uneven/Imgs/exp2_num_270153.jpg,data/raw/magnetic_tile_dataset/MT_Uneven/Imgs/exp2_num_270153.png,Uneven,1
data/raw/magnetic_tile_dataset/MT_Crack/Imgs/exp1_num_3191.jpg,data/raw/magnetic_tile_dataset/MT_Crack/Imgs/exp1_num_3191.png,Crack,1
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp4_num_260976.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp4_num_260976.png,Free,0
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp1_num_65001.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp1_num_65001.png,Free,0
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp4_num_166238.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp4_num_166238.png,Free,0
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp2_num_331174.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp2_num_331174.png,Free,0
data/raw/magnetic_tile_dataset/MT_Crack/Imgs/exp3_num_86892.jpg,data/raw/magnetic_tile_dataset/MT_Crack/Imgs/exp3_num_86892.png,Crack,1
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp1_num_174647.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp1_num_174647.png,Free,0
data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp4_num_317540.jpg,data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp4_num_317540.png,Blowhole,1
data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp3_num_265117.jpg,data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp3_num_265117.png,Blowhole,1
data/raw/magnetic_tile_dataset/MT_Fray/Imgs/exp3_num_258558.jpg,data/raw/magnetic_tile_dataset/MT_Fray/Imgs/exp3_num_258558.png,Fray,1
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp5_num_31166.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp5_num_31166.png,Free,0
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp1_num_2610.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp1_num_2610.png,Free,0
data/raw/magnetic_tile_dataset/MT_Uneven/Imgs/exp2_num_274120.jpg,data/raw/magnetic_tile_dataset/MT_Uneven/Imgs/exp2_num_274120.png,Uneven,1
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp6_num_329323.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp6_num_329323.png,Free,0
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp3_num_337688.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp3_num_337688.png,Free,0
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp3_num_19753.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp3_num_19753.png,Free,0
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp2_num_75106.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp2_num_75106.png,Free,0
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp2_num_71201.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp2_num_71201.png,Free,0
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp1_num_338856.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp1_num_338856.png,Free,0
data/raw/magnetic_tile_dataset/MT_Uneven/Imgs/exp2_num_24815.jpg,data/raw/magnetic_tile_dataset/MT_Uneven/Imgs/exp2_num_24815.png,Uneven,1
data/raw/magnetic_tile_dataset/MT_Break/Imgs/exp1_num_116934.jpg,data/raw/magnetic_tile_dataset/MT_Break/Imgs/exp1_num_116934.png,Break,1
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp5_num_309407.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp5_num_309407.png,Free,0
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp4_num_351474.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp4_num_351474.png,Free,0
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp3_num_183846.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp3_num_183846.png,Free,0
data/raw/magnetic_tile_dataset/MT_Break/Imgs/exp4_num_320705.jpg,data/raw/magnetic_tile_dataset/MT_Break/Imgs/exp4_num_320705.png,Break,1
data/raw/magnetic_tile_dataset/MT_Break/Imgs/exp1_num_271361.jpg,data/raw/magnetic_tile_dataset/MT_Break/Imgs/exp1_num_271361.png,Break,1
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp4_num_283240.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp4_num_283240.png,Free,0
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp4_num_91034.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp4_num_91034.png,Free,0
data/raw/magnetic_tile_dataset/MT_Break/Imgs/exp6_num_26244.jpg,data/raw/magnetic_tile_dataset/MT_Break/Imgs/exp6_num_26244.png,Break,1
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp4_num_6552.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp4_num_6552.png,Free,0
data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp6_num_108812.jpg,data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp6_num_108812.png,Blowhole,1
data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp2_num_297490.jpg,data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp2_num_297490.png,Blowhole,1
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp1_num_316333.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp1_num_316333.png,Free,0
data/raw/magnetic_tile_dataset/MT_Uneven/Imgs/exp3_num_352516.jpg,data/raw/magnetic_tile_dataset/MT_Uneven/Imgs/exp3_num_352516.png,Uneven,1
data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp5_num_265149.jpg,data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp5_num_265149.png,Blowhole,1
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp3_num_304319.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp3_num_304319.png,Free,0
data/raw/magnetic_tile_dataset/MT_Break/Imgs/exp4_num_241939.jpg,data/raw/magnetic_tile_dataset/MT_Break/Imgs/exp4_num_241939.png,Break,1
data/raw/magnetic_tile_dataset/MT_Uneven/Imgs/exp4_num_155384.jpg,data/raw/magnetic_tile_dataset/MT_Uneven/Imgs/exp4_num_155384.png,Uneven,1
data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp4_num_40450.jpg,data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp4_num_40450.png,Blowhole,1
data/raw/magnetic_tile_dataset/MT_Break/Imgs/exp3_num_148977.jpg,data/raw/magnetic_tile_dataset/MT_Break/Imgs/exp3_num_148977.png,Break,1
data/raw/magnetic_tile_dataset/MT_Uneven/Imgs/exp6_num_274218.jpg,data/raw/magnetic_tile_dataset/MT_Uneven/Imgs/exp6_num_274218.png,Uneven,1
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp3_num_309681.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp3_num_309681.png,Free,0
data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp6_num_5106.jpg,data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp6_num_5106.png,Blowhole,1
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp1_num_260927.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp1_num_260927.png,Free,0
data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp6_num_9594.jpg,data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp6_num_9594.png,Blowhole,1
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp3_num_246338.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp3_num_246338.png,Free,0
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp4_num_349868.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp4_num_349868.png,Free,0
data/raw/magnetic_tile_dataset/MT_Break/Imgs/exp5_num_62619.jpg,data/raw/magnetic_tile_dataset/MT_Break/Imgs/exp5_num_62619.png,Break,1
data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp1_num_262480.jpg,data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp1_num_262480.png,Blowhole,1
data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp5_num_2673.jpg,data/raw/magnetic_tile_dataset/MT_Free/Imgs/exp5_num_2673.png,Free,0
data/raw/magnetic_tile_dataset/MT_Uneven/Imgs/exp5_num_172332.jpg,data/raw/magnetic_tile_dataset/MT_Uneven/Imgs/exp5_num_172332.png,Uneven,1
data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp2_num_108741.jpg,data/raw/magnetic_tile_dataset/MT_Blowhole/Imgs/exp2_num_108741.png,Blowhole,1
data/raw/magnetic_tile_dataset/MT_Uneven/Imgs/exp2_num_542.jpg,data/raw/magnetic_tile_dataset/MT_Uneven/Imgs/exp2_num_542.png,Uneven,1
